source_id,Mecayotl,Olivares+2018,Meingast+2021,l,b,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,g,bp,rp,g_error,bp_error,rp_error,dr3_radial_velocity,dr3_radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_params_solved,bp_rp,g_rp,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Name,EPIC,RAJ2000,DEJ2000,Vmag,J-K,Per,Amp,l_WLi,WLi,e_WLi,Teff,ALi,e_ALi,Bin,SimbadName
69942515919994368,true,true,true,164.9347543044432,-22.67274739073381,56.13788197135758,0.05868502,25.752519740211472,0.041112747,7.149068071202813,0.06229673,19.71595980126822,0.08496714,-44.83680822050025,0.055149734,-0.15984498,-0.0026373265,0.015114053,-0.19576627,0.057625864,-0.24641082,-0.034311753,0.16612315,0.13195658,0.0212899,16.459324,18.192596,15.194916,9.080610683086158E-4,0.01812184834188551,0.003056342525947447,,,1.1406668,0.20896445,31,2.9976807,1.2644081,13.388,12.74,12.491,0.029,0.032,0.028,18.6055,0.0077,17.3121,0.0063,15.7422,0.0046,15.0261,0.0015,14.6728,0.003,,,,,,,,,,,,,,,,
69122520763444352,true,true,true,162.34977858469773,-25.714692327945375,51.97616993558862,0.03647389,24.93627369748486,0.026816783,7.660715763550424,0.040612463,22.586067587067607,0.043680675,-45.39416484539979,0.035383016,0.27669543,0.08045606,0.2524844,-0.11035146,0.06060783,-0.12684508,0.04445638,0.19981007,0.14679159,0.19185284,15.786348,17.355377,14.572138,8.775788053942979E-4,0.006735980592925139,0.0016303601340711838,,,1.0089101,0.03419415,31,2.7832394,1.2142105,12.88,12.219,11.981,0.023,0.032,0.018,17.7574,0.0082,16.5165,0.0038,15.0826,0.0015,14.4366,0.0012,14.1288,0.0016,,,,,,,,,,,,,,,,
64967603762044928,true,true,true,167.10439958542543,-24.002057472554235,56.78974161914069,0.07301863,23.43215484093026,0.058926236,7.306142286619532,0.08113765,20.74313458821348,0.09041365,-43.89561580660229,0.07165507,0.31290054,0.31046635,0.14163962,-0.070594884,0.14986168,-0.1669601,0.10216696,0.30312005,0.11943935,0.084030345,17.04237,18.83467,15.771289,0.0013124952818207689,0.027930421611587174,0.0035628428745630232,,,1.00177,0.0,31,3.0633802,1.271081,13.958,13.313,13.093,0.03,0.031,0.031,19.2272,0.0073,17.9353,0.0058,16.3231,0.0027,15.5938,0.0018,15.2342,0.0052,,,,,,,,,,,,,,,,
69651759518208000,true,true,true,161.90810101319684,-24.23059974247093,52.65622522456369,0.10504005,26.34587768378552,0.08134265,7.1268985902932735,0.12794773,21.253673587430907,0.13923812,-44.37021219654732,0.097393505,0.12484249,0.017444192,0.3516721,0.07456194,-0.12754884,-0.3651495,-0.18252453,0.36114353,0.21664137,-0.10896523,17.323578,19.13233,16.041603,0.0016221404640658714,0.03136298093706279,0.003898629304671478,,,0.9401269,0.0,31,3.0907269,1.2819748,14.239,13.524,13.299,0.028,0.038,0.033,19.5542,0.0084,18.209,0.0081,16.6094,0.005,15.8383,0.003,15.4822,0.0031,,,,,,,,,,,,,,,,
69988489250631680,true,true,true,165.75654881777962,-21.90502316935554,57.33572618441402,0.015956456,25.81781951369322,0.009331469,7.747734110425985,0.017780812,19.652589032555056,0.018518,-47.62953161731615,0.012593997,0.20861766,0.030981334,0.30609992,-0.30156672,-0.08536177,-0.3028276,0.10933276,0.58890027,-0.04386477,-0.41534027,13.315139,14.14078,12.421041,6.095076326539209E-4,0.002690805158704409,0.00168329592898327,9.250212,1.8262933,1.1851069,0.043820914,31,1.7197399,0.8940983,11.32,10.67,10.487,0.023,0.029,0.024,14.5147,0.0034,13.463,,12.982,,12.678,,12.4156,0.0094,,,,,,,,,,,,,,,,
65169943964429952,true,true,true,166.59038399294795,-24.183178224964276,56.27833987281683,0.08658928,23.614139359630546,0.059413858,7.2309171672488475,0.08655477,19.068891767681066,0.120184906,-44.98068962263365,0.07828888,0.07205046,-0.006490467,-0.09838863,-0.17335348,-0.1734643,-0.17708048,-0.13242276,0.053874582,-0.0728984,0.079545274,16.988838,19.105682,15.657268,0.0016070044411026845,0.0398750505096504,0.0038650639080220588,,,1.0175426,0.17891449,31,3.4484148,1.3315706,13.598,12.998,12.673,0.024,0.029,0.021,19.5148,0.0137,18.1184,0.0056,16.2902,0.002,15.4156,0.0041,14.9906,0.0043,,,,,,,,,,,,,,,,
65263612908043392,true,true,true,165.89259026487926,-24.03246182753931,55.869797428461034,0.08007247,24.15158636442973,0.06778807,7.596763629614335,0.09692694,20.970523789670626,0.10009282,-45.9841385820174,0.07849598,0.27770916,0.16496237,0.16784838,-0.12633967,0.07563926,-0.40052512,0.06500904,0.32411185,0.110453814,-0.1375363,17.377176,19.323338,16.066093,0.0012760249535371641,0.05330896684155164,0.004049030197007475,,,1.0018568,0.045215808,31,3.257244,1.3110828,14.164,13.511,13.263,0.028,0.039,0.033,19.6718,0.0161,18.377,0.0063,16.6307,0.002,15.8426,0.0018,15.4687,0.0037,,,,,,,,,,,,,,,,
66911231083913600,true,true,true,166.4091047005415,-21.936083417435878,57.80779965610001,0.040533293,25.386302306443408,0.023178844,7.494606979507357,0.043466873,19.43880335389787,0.0454371,-46.52088425027251,0.03007238,0.08251092,0.03916326,0.36607867,-0.08022152,-0.053643618,-0.10723358,0.03225288,0.57125133,0.19702022,-0.20786496,15.793973,17.35099,14.573525,0.0014465561117441121,0.009215287557671384,0.004702445876075749,,,1.0412433,0.07071869,31,2.7774649,1.2204475,12.864,12.229,11.973,0.025,0.015,0.022,17.8087,0.0088,16.5016,0.0059,15.054,0.0039,14.4386,0.0068,14.1259,0.0017,,,,,,,,,,,,,,,,
65089336018173440,true,true,true,166.370523572787,-24.468925051591004,55.90730074032356,0.015208569,23.535787848747553,0.009555845,7.524981265385147,0.015248472,19.527245020995085,0.020671353,-45.2924067830061,0.013281016,0.029280633,0.035069406,-0.12139129,-0.43368673,0.13445108,-0.11065417,0.1023356,0.146354,0.25115693,-0.08447993,10.5763235,10.927368,10.060749,0.0010685787963140654,0.003849000679200456,0.0023217581892009827,6.5120916,0.45042944,0.98257875,0.06839526,31,0.8666191,0.51557446,9.529,9.191,9.124,0.019,0.017,0.02,11.06,,10.644,,10.503,,10.458,,10.439,,,,,,,,,,,,,,,,,
66161020555461120,true,true,true,168.63681582063805,-21.485283585017957,59.80387587470013,0.072014414,24.288307388285293,0.04133005,6.800568184143455,0.07566103,16.741579511783428,0.09045551,-42.13618446141797,0.050983135,0.0334182,0.07679678,0.37244064,-0.15084484,0.04197526,-0.017359918,0.038703617,0.53437376,0.05514677,-0.06573555,16.859692,18.63897,15.584092,0.0013291088648756052,0.016961432328414,0.0038927418910688827,,,1.0107522,0.0,31,3.0548773,1.2755995,13.753,13.144,12.835,0.026,0.028,0.027,18.9861,0.0101,17.737,0.0048,16.145,0.0069,15.3999,0.0051,15.0409,0.0034,,,,,,,,,,,,,,,,
